category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,6/135,133/9446,0.045112781954887216,3.1565580618212192,3.015864855435216,0.01191500500709886,0.13056279599544482,0.1079466552896398,PIK3R3/CAT/AKT1/SMAD3/STAT3/SOS1,6
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,8/135,217/9446,0.03686635944700461,2.579552824714115,2.8343690724961554,0.012503219984378817,0.13056279599544482,0.1079466552896398,PIK3R3/ADRB1/AKT1/ADCY7/STAT5B/STAT3/ADCY3/SOS1,8
Organismal Systems,Digestive system,hsa04970,Salivary secretion,5/135,97/9446,0.05154639175257732,3.6067201221840395,3.1071870179730334,0.012506014942092416,0.13056279599544482,0.1079466552896398,ADRB1/DMBT1/LYZ/ADCY7/ADCY3,5
NA,NA,hsa04081,Hormone signaling,8/135,219/9446,0.0365296803652968,2.5559952646710635,2.805238367437651,0.013157998764057512,0.13118618372773616,0.10846205954501278,PIK3R3/ADRB1/DRD4/GUCY2C/ADCY7/STAT5B/STAT3/ADCY3,8
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,5/135,99/9446,0.050505050505050504,3.5338570894126446,3.0516399718299403,0.013570984523558914,0.13118618372773616,0.10846205954501278,PIK3R3/AKT1/ADCY7/ADCY3/SOS1,5
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,6/135,139/9446,0.04316546762589928,3.0203037569944047,2.889275245508577,0.01456622477631106,0.132260176173721,0.10935001458202381,PIK3R3/AKT1/ADCY7/KRT34/ADCY3/SOS1,6
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,5/135,101/9446,0.04950495049504951,3.463879721305464,2.99750722959978,0.014695575130413443,0.132260176173721,0.10935001458202381,PIK3R3/AKT1/SMAD3/STAT5B/STAT3,5
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,8/135,226/9446,0.035398230088495575,2.4768272697476235,2.70575309656173,0.01564881451317543,0.1328332680303056,0.10982383523376749,PIK3R3/ADRB1/AKT1/ADCY7/PDE4A/PDE4C/FFAR2/ADCY3,8
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,8/135,227/9446,0.03524229074889868,2.465916136400718,2.6918437578942593,0.01603078156489864,0.1328332680303056,0.10982383523376749,PIK3R3/IL10RA/AKT1/ADCY7/STAT3/IRF3/ADCY3/SOS1,8
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,7/135,184/9446,0.03804347826086957,2.6619162640901775,2.7411661692617626,0.016286071176129423,0.1328332680303056,0.10982383523376749,PIK3R3/NTNG1/SLIT1/ILK/WNT5B/SEMA6B/SEMA4F,7
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,5/135,105/9446,0.047619047619047616,3.3319223985890654,2.8932220045009487,0.01712897788388045,0.13547464326341813,0.11200767037306197,PGAM5/USP8/UBB/RHOT1/TOMM40,5
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,4/135,71/9446,0.056338028169014086,3.941992696922274,2.996089816974018,0.018547613225740202,0.1423802074093586,0.11771704988472885,PIK3R3/PGAM1/AKT1/IDH2,4
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,6/135,150/9446,0.04,2.798814814814815,2.673952755888782,0.02044751518278429,0.14533963882459347,0.12016384738472137,PIK3R3/WNT5B/AKT1/SMAD3/AXIN2/SOS1,6
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,3/135,41/9446,0.07317073170731707,5.119783197831978,3.1831462479460346,0.020492582246051442,0.14533963882459347,0.12016384738472137,RPA2/BRCA2/BRCA1,3
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,7/135,193/9446,0.03626943005181347,2.53778545384763,2.5989793209207024,0.02060370358816076,0.14533963882459347,0.12016384738472137,PIK3R3/AKT1/ADCY7/STAT5B/STAT3/ADCY3/SOS1,7
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,11/135,391/9446,0.028132992327365727,1.9684758927725678,2.3550637527380465,0.02415461505925792,0.1587131282406197,0.13122077551654382,PSMB2/PIK3R3/CAPN2/WNT5B/PSEN1/AKT1/NDUFAB1/AXIN2/TUBB8B/NDUFS7/COX7A2L,11
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",5/135,115/9446,0.043478260869565216,3.0421900161030595,2.6530820187209296,0.024343783334462896,0.1587131282406197,0.13122077551654382,ADCY7/SLC12A3/PDE4A/PDE4C/ADCY3,5
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,6/135,157/9446,0.03821656050955414,2.674026893135173,2.5468154596193036,0.024931947348143323,0.1587131282406197,0.13122077551654382,PIK3R3/CAPN2/CHEK1/AKT1/SMAD3/ZFP36L2,6
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,6/135,157/9446,0.03821656050955414,2.674026893135173,2.5468154596193036,0.024931947348143323,0.1587131282406197,0.13122077551654382,PIK3R3/CYP2E1/AKT1/NDUFAB1/NDUFS7/COX7A2L,6
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,5/135,117/9446,0.042735042735042736,2.9901867679645457,2.608188170539545,0.025989340780335594,0.16150518913494263,0.1335291944854335,GLUD1/PGAM1/CAT/IDH2/MDH1,5
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,4/135,80/9446,0.05,3.4985185185185186,2.7022168112313336,0.0273893820051858,0.1632760373101712,0.13499329561841136,PIK3R3/AKT1/STAT3/SOS1,4
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,7/135,205/9446,0.03414634146341464,2.3892321589882566,2.4213745620732587,0.027525462228534612,0.1632760373101712,0.13499329561841136,PIK3R3/CHEK1/ACTN1/KAT2A/STAT5B/STAT3/IRF3,7
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,8/135,253/9446,0.03162055335968379,2.2125018298931343,2.3538768368930802,0.02849811484958064,0.16528906612756772,0.13665762676407092,PIK3R3/CAPN2/ILK/ACTN1/AKT1/SEPTIN12/UBB/IRF3,8
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,3/135,47/9446,0.06382978723404255,4.466193853427895,2.868340162944809,0.029311090450000406,0.1663085784228284,0.13750053872425821,ALDH9A1/ACYP2/MDH1,3
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,4/135,85/9446,0.047058823529411764,3.292723311546841,2.5566406453331303,0.03322429592662338,0.17867892078462924,0.1477280853432103,AK4/APRT/NT5C3B/DGUOK,4
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,6/135,168/9446,0.03571428571428571,2.498941798941799,2.3603800166183366,0.03323338627215034,0.17867892078462924,0.1477280853432103,PIK3R3/IL10RA/AKT1/STAT5B/STAT3/SOS1,6
Organismal Systems,Immune system,hsa04611,Platelet activation,5/135,126/9446,0.03968253968253968,2.776601998824221,2.4173368072638155,0.03426859248743607,0.17867892078462924,0.1477280853432103,PIK3R3/AKT1/MYLK3/ADCY7/ADCY3,5
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,4/135,86/9446,0.046511627906976744,3.2544358311800172,2.5288256134292553,0.034471859694778194,0.17867892078462924,0.1477280853432103,PIK3R3/AKT1/STAT5B/SOS1,4
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,6/135,170/9446,0.03529411764705882,2.4695424836601307,2.3280694859062216,0.03491427187745629,0.17867892078462924,0.1477280853432103,PIK3R3/WNT5B/AKT1/SMAD3/AXIN2/SOS1,6
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,5/135,130/9446,0.038461538461538464,2.691168091168091,2.337832619934847,0.03841867478846014,0.19283219461130954,0.1594297233124358,PIK3R3/AKT1/ADCY7/ADCY3/SOS1,5
Human Diseases,Substance dependence,hsa05032,Morphine addiction,4/135,91/9446,0.04395604395604396,3.0756206756206756,2.395612058222873,0.041115390145896026,0.2024739024165823,0.16740129056422415,ADCY7/PDE4A/PDE4C/ADCY3,4
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,2/135,23/9446,0.08695652173913043,6.084380032206119,2.9395241257746054,0.04217433466177091,0.20384261753189273,0.1685329162897278,GLUD1/MDH1,2
Human Diseases,Infectious disease: viral,hsa05162,Measles,5/135,139/9446,0.03597122302158273,2.516919797495337,2.16937616690147,0.048841378581327456,0.2283526965090864,0.1887973494025518,PIK3R3/AKT1/STAT5B/STAT3/IRF3,5
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,9/135,333/9446,0.02702702702702703,1.8910910910910912,1.9933485078876336,0.04899521457666222,0.2283526965090864,0.1887973494025518,HES2/PIK3R3/WNT5B/ATP6V1D/PSEN1/AKT1/AXIN2/IRF3/SOS1,9
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,5/135,140/9446,0.03571428571428571,2.498941798941799,2.1514782803415256,0.05009309706669143,0.22937365498958706,0.18964145703918273,AKT1/SMAD3/MYLK3/ADCY7/ADCY3,5
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,3/135,59/9446,0.05084745762711865,3.5578154425612056,2.3730205763988916,0.05200229349302383,0.23401032071860722,0.19347495764192169,TXNDC12/GPX2/IDH2,3
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,3/135,63/9446,0.047619047619047616,3.3319223985890654,2.2360587632375686,0.061001096952600246,0.26985231024794343,0.2231083831451035,ALDH9A1/COLGALT2/KMT2D,3
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,5/135,149/9446,0.03355704697986577,2.3479990057171265,1.997013462711343,0.062205859413137936,0.27059548844715,0.22372282771391716,PIK3R3/AKT1/ADCY7/ADCY3/SOS1,5
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,3/135,65/9446,0.046153846153846156,3.2294017094017096,2.171651549630659,0.06575575031991808,0.28015224553801427,0.2316241594486506,PBX1/ADCY7/ADCY3,3
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),2/135,30/9446,0.06666666666666667,4.664691358024691,2.4206639838656434,0.06800256543401502,0.28015224553801427,0.2316241594486506,IDH2/MDH1,2
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,4/135,109/9446,0.03669724770642202,2.5677200135915736,1.9822013803022884,0.07061032089646294,0.28015224553801427,0.2316241594486506,PIK3R3/CRTC2/AKT1/STAT3,4
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,6/135,204/9446,0.029411764705882353,2.0579520697167757,1.8393644827209146,0.072051076443535,0.28015224553801427,0.2316241594486506,HSPG2/PIK3R3/WNT5B/AKT1/STAT3/SOS1,6
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,3/135,68/9446,0.04411764705882353,3.0869281045751635,2.0795843090756656,0.07319636950098828,0.28015224553801427,0.2316241594486506,RDH12/CYP2A6/RETSAT,3
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,6/135,205/9446,0.02926829268292683,2.0479132791327914,1.826469781119114,0.07339355727413789,0.28015224553801427,0.2316241594486506,PIK3R3/AKT1/SMAD3/NDUFAB1/NDUFS7/COX7A2L,6
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,4/135,111/9446,0.036036036036036036,2.5214547881214546,1.9414807177044915,0.07441576529093867,0.28015224553801427,0.2316241594486506,PIK3R3/AKT1/ADCY7/ADCY3,4
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,3/135,69/9446,0.043478260869565216,3.0421900161030595,2.0500216050919486,0.07575690725571457,0.28015224553801427,0.2316241594486506,PIK3R3/AKT1/SOS1,3
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,5/135,158/9446,0.03164556962025317,2.214252226910455,1.8533013871371529,0.0758381509995005,0.28015224553801427,0.2316241594486506,PIK3R3/WNT5B/ATP6V1D/AKT1/SOS1,5
Metabolism,Carbohydrate metabolism,hsa00630,Glyoxylate and dicarboxylate metabolism,2/135,32/9446,0.0625,4.3731481481481485,2.301404775744007,0.07613634361239076,0.28015224553801427,0.2316241594486506,CAT/MDH1,2
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,5/135,159/9446,0.031446540880503145,2.2003261122757976,1.8379335072059684,0.07744572104854747,0.28015224553801427,0.2316241594486506,CAPN2/GLUD1/PGAM5/STAT5B/STAT3,5
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,5/135,159/9446,0.031446540880503145,2.2003261122757976,1.8379335072059684,0.07744572104854747,0.28015224553801427,0.2316241594486506,PIK3R3/AKT1/STAT3/IRF3/SOS1,5
Human Diseases,Cancer: specific types,hsa05211,Renal cell carcinoma,3/135,70/9446,0.04285714285714286,2.9987301587301585,2.020989644857274,0.0783567583305557,0.28015224553801427,0.2316241594486506,PIK3R3/AKT1/SOS1,3
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,9/135,371/9446,0.02425876010781671,1.697394429469901,1.6501058883966226,0.08395074597157125,0.2936227477830186,0.2427612958076984,PSMB2/CAT/GPX2/NDUFAB1/TUBB8B/NDUFS7/TOMM40/NUP62/COX7A2L,9
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,4/135,116/9446,0.034482758620689655,2.412771392081737,1.8434432261493157,0.08437435281121225,0.2936227477830186,0.2427612958076984,PIK3R3/AKT1/ADCY7/ADCY3,4
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,5/135,166/9446,0.030120481927710843,2.107541276215975,1.733443451294839,0.08921054668488632,0.3015868797096262,0.24934587755786802,ADRB1/AKT1/MYLK3/ADCY7/ADCY3,5
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,3/135,75/9446,0.04,2.798814814814815,1.8831886175007784,0.0919270246812162,0.3015868797096262,0.24934587755786802,PIK3R3/AKT1/BRCA1,3
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,3/135,75/9446,0.04,2.798814814814815,1.8831886175007784,0.0919270246812162,0.3015868797096262,0.24934587755786802,GPX2/ADCY7/ADCY3,3
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,4/135,120/9446,0.03333333333333333,2.3323456790123456,1.7685996604592675,0.09278813743505793,0.3015868797096262,0.24934587755786802,PIK3R3/PSEN1/AKT1/SOS1,4
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,2/135,36/9446,0.05555555555555555,3.887242798353909,2.0898227251952592,0.09325192527459299,0.3015868797096262,0.24934587755786802,RPA2/POLA2,2
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,3/135,76/9446,0.039473684210526314,2.7619883040935673,1.856990679801138,0.09475143347198985,0.3015868797096262,0.24934587755786802,MYLK3/ADCY7/ADCY3,3
Human Diseases,Cancer: specific types,hsa05214,Glioma,3/135,76/9446,0.039473684210526314,2.7619883040935673,1.856990679801138,0.09475143347198985,0.3015868797096262,0.24934587755786802,PIK3R3/AKT1/SOS1,3
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,4/135,122/9446,0.03278688524590164,2.2941105039465697,1.7322870040535447,0.09714002584275973,0.3054644186139794,0.2525517475937317,PIK3R3/SGPP1/AKT1/CERS1,4
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,3/135,78/9446,0.038461538461538464,2.691168091168091,1.8058444475056876,0.10050608934499411,0.31228677760766027,0.25819233478350617,PIK3R3/ILK/SEPTIN12,3
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,5/135,174/9446,0.028735632183908046,2.010642826734781,1.6201503261369896,0.10372977767867969,0.31851143498982826,0.2633387544783819,ROR1/WNT5B/PSEN1/SMAD3/AXIN2,5
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,6/135,235/9446,0.02553191489361702,1.7864775413711584,1.4700651003683658,0.12021210452589098,0.35999477091037363,0.2976363300529405,NDUFAB1/ADCY7/NDUFS7/ADCY3/SOS1/COX7A2L,6
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,2/135,42/9446,0.047619047619047616,3.3319223985890654,1.8236946789718926,0.12071958927898081,0.35999477091037363,0.2976363300529405,ALDH9A1/CAT,2
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,5/135,183/9446,0.0273224043715847,1.9117587532888078,1.4996826127704184,0.12137754728012598,0.35999477091037363,0.2976363300529405,PIK3R3/SRSF5/AKT1/NECTIN2/IRF3,5
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,2/135,45/9446,0.044444444444444446,3.109794238683128,1.7081619149607388,0.13511549466751838,0.38780471001049377,0.320629020174032,ABCB9/ABCC11,2
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,4/135,138/9446,0.028985507246376812,2.0281266774020397,1.464966474777401,0.13521160387339054,0.38780471001049377,0.320629020174032,ATP6V1D/NDUFAB1/NDUFS7/COX7A2L,4
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,4/135,138/9446,0.028985507246376812,2.0281266774020397,1.464966474777401,0.13521160387339054,0.38780471001049377,0.320629020174032,PIK3R3/PKN2/AKT1/IRF3,4
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,3/135,90/9446,0.03333333333333333,2.3323456790123456,1.5291946431343024,0.13775037850709781,0.39079183467774486,0.32309871388964595,PIK3R3/AKT1/STAT3,3
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,2/135,46/9446,0.043478260869565216,3.0421900161030595,1.6717865995866468,0.13999699323503637,0.39162426129567784,0.32378694722973966,PSMB2/PSME2,2
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,3/135,91/9446,0.03296703296703297,2.3067155067155065,1.5081673936488402,0.14104475311032075,0.39162426129567784,0.32378694722973966,PIK3R3/AKT1/SOS1,3
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,3/135,93/9446,0.03225806451612903,2.2571087216248507,1.466927156821097,0.14771239995646962,0.3937330165308289,0.3255304230240772,ACTN1/SMAD3/NECTIN2,3
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,3/135,93/9446,0.03225806451612903,2.2571087216248507,1.466927156821097,0.14771239995646962,0.3937330165308289,0.3255304230240772,ADCY7/ADCY3/SOS1,3
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,5/135,196/9446,0.025510204081632654,1.7849584278155708,1.3371296774878199,0.14916076406537787,0.3937330165308289,0.3255304230240772,PIK3R3/AKT1/UBB/STAT3/IRF3,5
NA,NA,hsa03272,Virion - Hepatitis viruses,2/135,48/9446,0.041666666666666664,2.915432098765432,1.6019146067706336,0.1498715584547315,0.3937330165308289,0.3255304230240772,HSPG2/EPCAM,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,4/135,144/9446,0.027777777777777776,1.9436213991769544,1.3739172036909573,0.15085556188920649,0.3937330165308289,0.3255304230240772,ALDH9A1/CYP2E1/AKT1/IRF3,4
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,4/135,144/9446,0.027777777777777776,1.9436213991769544,1.3739172036909573,0.15085556188920649,0.3937330165308289,0.3255304230240772,PSMB2/PIK3R3/SPTBN2/AKT1,4
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,2/135,50/9446,0.04,2.798814814814815,1.5355701309459666,0.15988142078171577,0.4070908339975119,0.3365743939080054,ALDH9A1/P4HA1,2
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,4/135,149/9446,0.026845637583892617,1.8783992045737012,1.3013177530019073,0.16439783791000492,0.4070908339975119,0.3365743939080054,NDUFAB1/ADCY7/NDUFS7/ADCY3,4
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,3/135,98/9446,0.030612244897959183,2.141950113378685,1.3682659517400002,0.16481335602198963,0.4070908339975119,0.3365743939080054,ADCY7/ADCY3/PRKD3,3
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,2/135,51/9446,0.0392156862745098,2.7439360929557006,1.5036160883673173,0.1649322254231721,0.4070908339975119,0.3365743939080054,ATP6V1D/ADCY3,2
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,3/135,99/9446,0.030303030303030304,2.120314253647587,1.3492456901877956,0.16830272580421732,0.4070908339975119,0.3365743939080054,PIK3R3/ADCY7/ADCY3,3
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,3/135,99/9446,0.030303030303030304,2.120314253647587,1.3492456901877956,0.16830272580421732,0.4070908339975119,0.3365743939080054,PIK3R3/AKT1/SOS1,3
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,2/135,52/9446,0.038461538461538464,2.691168091168091,1.4724239459898922,0.1700111145813364,0.4070908339975119,0.3365743939080054,DNMT3A/MDH1,2
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,2/135,52/9446,0.038461538461538464,2.691168091168091,1.4724239459898922,0.1700111145813364,0.4070908339975119,0.3365743939080054,ADCY7/ADCY3,2
Organismal Systems,Digestive system,hsa04973,Carbohydrate digestion and absorption,2/135,52/9446,0.038461538461538464,2.691168091168091,1.4724239459898922,0.1700111145813364,0.4070908339975119,0.3365743939080054,PIK3R3/AKT1,2
