"Geneid","GroupA_1","GroupA_2","GroupA_3","GroupB_1","GroupB_2","GroupB_3","foldchange","pvalue"
"ZNF605",774,1013,884,1286,860,1436,2.146569392,3.72848e-05
"ZNF140",193,270,231,304,249,415,2.057362183,5.75319e-05
"BRCA2",424,585,625,918,570,1050,1.514508476,5.80668e-07
"C13orf42",0,0,0,2,0,0,3.033752188,8.22368e-11
"DACH1",0,0,0,0,0,2,1.586253539,1.3174e-05
"OR4Q2",0,0,0,0,0,2,1.540136081,0.006678524
"METTL17",395,480,509,646,511,727,1.711020868,0.000485669
"PSME2",4446,6682,5463,7717,5620,9685,17.42537423,2.53531e-16
"CBLN3",159,246,202,267,198,295,2.416870161,0.003182373
"KHNYN",2550,3634,3008,4149,3184,4780,10.14158766,3.36881e-07
"TOGARAM1",216,307,290,387,330,495,1.717555788,0.006790354
"DNAAF2",1031,1211,1242,1752,1356,2266,2.429010535,2.36603e-11
"CGRRF1",141,162,141,228,171,251,2.809877999,1.04013e-12
"PCNX4",1576,2091,1585,2384,1826,2723,3.218616171,0.00128011
"SGPP1",222,272,192,334,274,330,1.986114515,0.00030576
"ZBTB25",347,462,457,655,487,711,2.173715281,0.001006127
"GPX2",2430,3544,3127,4166,2764,5513,2.400462976,8.61305e-05
"FUT8",1298,1613,1172,1973,1464,1969,2.535414105,0.007786219
"CCDC196",0,1,0,2,0,0,2.363482011,4.92515e-05
"ATP6V1D",1643,2056,1614,2441,2020,2831,2.715898996,0.009038249
"RDH12",32,88,42,54,54,86,3.037643311,1.57282e-05
"ZFYVE26",761,951,688,1081,893,1202,4.669746042,1.66357e-21
"ACTN1",16754,20797,16756,26158,20894,28542,1.571612135,0.000943825
"SUSD6",213,365,239,360,282,405,2.112241941,4.44378e-07
"SRSF5",7610,9984,8556,12475,8993,14659,1.601609586,3.50584e-08
"TTC9",242,335,193,382,271,309,1.525055568,1.38227e-07
"PSEN1",2055,2600,2145,3025,2506,3531,1.539576139,0.007207602
"TTC8",273,429,437,453,362,693,2.613821819,1.70581e-11
"FOXN3",782,1145,1055,1350,849,1666,1.923737949,0.000807467
"LGMN",500,732,610,848,687,1073,1.765182257,9.65521e-08
"PRIMA1",100,118,209,189,137,348,2.117702202,6.01592e-06
"AKT1",2214,3094,2539,3743,2933,4239,1.560485226,0.000638054
"TMEM121",2,30,32,25,18,46,3.833374994,0.001887669
"KLF13",587,856,696,1069,818,1209,1.714486165,1.18331e-07
"NUTM1",0,0,0,2,0,2,1.921334668,2.19418e-09
"CCDC9B",2037,2405,1493,2897,2295,2600,3.577723434,1.02279e-07
"SLC24A5",26,14,23,29,22,38,2.023643162,0.00575891
"USP8",4296,5893,5247,7361,5483,8535,1.751099575,0.007889908
"GLDN",29,22,28,27,33,37,1.912939243,0.000192717
"MAPK6",5585,7711,6530,8798,7085,10782,1.503113766,0.00025021
"WDR72",21,41,40,47,39,51,1.635743833,0.009651856
"CCPG1",1914,2961,2260,3331,2774,3821,3.394035841,1.10418e-09
"DENND4A",1123,1489,1218,1747,1361,1971,7.839707516,5.91441e-07
"ZWILCH",577,683,704,1012,629,1177,3.145151729,0.000287197
"SMAD3",777,1007,709,1069,845,1075,2.084490753,1.19442e-07
"ADAMTS7",8,5,7,21,10,13,3.312115077,9.36946e-06
"RASGRF1",10,19,14,16,20,22,1.722491093,0.008150169
"TMED3",1018,1429,1305,1779,1328,2350,3.648766046,1.65417e-07
"FAH",344,533,374,549,457,621,1.565437929,2.35933e-06
"EFL1",670,944,672,1017,754,1182,1.683286367,9.54196e-07
"FSD2",34,41,36,47,36,85,2.486759502,1.08501e-07
"ABHD2",632,910,697,1015,892,1166,1.535559893,2.6134e-08
"IDH2",1612,2276,2017,2601,1918,3607,3.56167604,4.03453e-06
"LRRC28",34,48,39,66,44,99,3.852963118,6.32571e-12
"PDIA2",2,4,8,2,8,12,2.300880853,7.11352e-07
"SOX8",6,0,6,14,4,16,2.051857543,0.00027273
"TPSG1",2,1,2,10,2,4,1.595036846,0.002324379
"PRSS33",0,0,0,2,4,2,1.530516407,2.58351e-06
"FLYWCH1",655,930,667,951,851,1236,1.720095695,0.007431705
"ANKS3",193,288,208,332,246,359,1.502297602,0.000365564
"SEPTIN12",0,0,0,0,2,4,1.796827244,2.11345e-06
"NPIPA1",2353,3989,3087,4389,2895,4968,13.8410132,5.18276e-12
"NTAN1",766,877,763,1180,933,1172,3.745453962,0.006629955
"AC140504.1",206,273,126,280,228,286,2.262061508,0.000616405
"BMERB1",537,707,341,777,621,669,3.151237149,5.08875e-08
"ACSM3",405,562,703,789,466,1149,1.814523012,0.00151521
"NDUFAB1",1154,1632,1344,2008,1589,2663,2.660755424,0.00122165
"NPIPB12",1093,1480,1189,1886,1274,2224,2.206957836,1.14348e-07
"TRIM72",0,0,0,2,2,4,1.5656734,0.001833946
"MYLK3",5,14,12,24,14,20,1.783093051,0.003887699
"ABCC11",124,140,126,174,131,177,5.179053846,0.000128569
"ADCY7",59,81,50,78,46,90,1.898895765,7.25526e-09
"SLC12A3",6,0,2,4,0,4,5.209675246,1.32702e-22
"CFAP20",622,789,746,1072,702,1320,2.945090917,1.67879e-05
"AC026464.4",2947,4018,3244,4630,3625,5336,1.809166603,3.19468e-10
"CLEC18C",0,4,2,6,0,3,2.092996354,0.001596358
"ATMIN",1595,2342,1637,2533,1985,2666,11.22790277,1.63533e-31
"GSE1",1606,2384,1731,2597,1863,3164,2.442870782,0.000389741
"KLHDC4",1773,2177,2041,3001,2000,3292,1.618805022,0.000117522
"APRT",386,544,477,674,570,840,1.649309792,0.000717528
"VPS9D1",241,391,245,399,264,457,2.353715719,3.7524e-05
"FANCA",487,615,550,831,529,1007,1.821527293,5.04103e-05
"GLTPD2",137,180,183,184,145,274,3.207001459,1.35249e-13
"SPAG7",4137,5632,5514,6602,4834,8732,5.459983636,0.000421961
"RABEP1",4319,5833,4889,7493,5691,8131,1.813775138,1.13739e-06
"CTDNEP1",780,1127,832,1302,906,1543,1.680040856,1.78986e-09
"CHRNB1",366,599,412,614,467,712,2.819119301,0.006160536
"UBB",12950,19054,14775,21380,15654,26114,2.390949535,0.000275399
"AC005726.1",545,696,710,1011,646,1231,1.802937287,5.47514e-06
"LRRC37B",124,162,116,228,120,214,1.659063177,0.000134817
"RHOT1",317,541,391,551,481,700,1.612154318,0.000946097
"LHX1",6,6,6,2,4,6,2.069589646,0.000283508
"TBC1D3D",54,55,47,62,55,59,2.051857543,0.00027273
"KRT34",2,6,0,0,2,2,7.743027914,3.96543e-11
"NT5C3B",1304,1814,1536,2081,1536,2539,1.599252712,0.003617419
"KLHL11",124,144,130,174,150,222,1.526379381,0.000702203
"KAT2A",549,686,594,894,589,1171,3.759832016,6.92016e-14
"AC099811.2",5549,7543,6310,9128,7624,11318,22.69149571,3.0617e-132
"STAT5B",503,736,548,865,608,867,2.051857543,0.00027273
"STAT3",3529,4560,3844,5634,3964,6784,4.080075502,9.82733e-05
"BRCA1",944,1404,1181,1594,1203,2015,3.759214653,0.000352577
"PPY",0,0,0,0,2,0,2.110216265,8.57801e-15
"GJC1",290,285,228,462,386,346,2.615238167,1.61399e-09
"NOG",0,0,0,0,2,2,1.621537133,9.36178e-09
"COIL",1141,1461,1234,2025,1378,2060,2.951448507,6.96147e-16
"AXIN2",3363,4007,3859,5392,3897,6117,2.733430244,1.02623e-09
"UNK",507,675,606,895,609,1056,3.509951598,1.54072e-05
"PGS1",129,195,158,233,207,271,2.324689803,1.03543e-06
"C1QTNF1",34,50,42,52,45,73,8.295946128,0.000700954
"TUBB8B",4,2,2,4,2,7,1.566214964,3.49191e-08
"ST8SIA5",2,4,0,4,2,12,1.841932164,2.37312e-05
"PHLPP1",374,487,464,597,428,764,1.723536172,0.000238083
"MBP",142,242,232,301,170,283,2.397882334,9.98688e-06
"MISP",581,806,508,985,771,828,1.839383175,7.98601e-11
"PTBP1",1275,1811,1717,2328,1808,3146,2.057632441,7.38468e-05
"NDUFS7",238,276,232,325,282,512,4.44170374,1.81193e-08
"ZNF554",45,92,51,90,72,113,3.775393158,2.42701e-24
"NFIC",1122,1576,1103,1927,1422,1806,1.836667413,5.27553e-05
"SEMA6B",707,1051,1003,1326,859,1810,2.26070351,0.005576031
"AC024592.3",253,321,247,375,277,461,1.539673406,0.000561016
"XAB2",542,796,556,966,753,1039,10.73885024,2.95077e-05
"ZGLP1",10,10,4,18,12,17,1.602785344,0.009824452
"PDE4A",170,198,140,238,162,226,1.509229603,0.008541562
"CCDC151",278,409,315,507,328,576,4.643619868,0.002682185
"ELAVL3",4,10,0,6,14,10,1.73740501,3.71076e-09
"ZNF491",30,26,20,33,30,33,2.227977352,9.24543e-10
"ZNF443",234,344,253,391,258,473,1.802493905,6.48052e-06
"NACC1",1952,2461,2037,3105,2474,3646,8.669073704,1.01667e-10
"B3GNT3",136,194,51,227,210,154,2.260228344,0.001195937
"PDE4C",42,99,55,56,26,66,2.293847365,6.59642e-06
"REX1BD",196,208,154,282,193,320,1.534511727,0.001245461
"CERS1",66,132,124,116,99,169,2.898444033,3.08179e-07
"MAU2",221,315,283,345,282,434,3.620375586,3.99868e-11
"GATAD2A",2705,3364,2836,4267,3412,4843,2.295455069,0.000899245
"ZNF91",361,458,365,570,435,612,3.027693833,9.68321e-13
"LGI4",6,16,4,6,4,6,4.922019234,3.90657e-11
"GPR42",0,0,0,2,0,0,2.648450944,5.70515e-11
"FFAR2",0,0,0,0,2,0,2.00670109,9.47476e-06
"AD000671.1",219,299,196,329,229,375,7.161109554,2.87136e-13
"HCST",2,0,0,7,0,9,2.589820187,5.42692e-08
"ZNF540",2,4,2,4,6,18,6.545638058,0.00572059
"CCNP",25,34,28,42,33,33,2.175809334,0.006918611
"SHKBP1",232,335,258,365,275,434,4.925371665,7.13718e-17
"COQ8B",196,213,153,240,175,325,5.19478415,4.99125e-32
"CYP2A6",3,2,0,2,1,2,4.476224564,8.2223e-05
"ZNF574",316,382,352,480,382,476,3.234276898,3.8522e-07
"PSG11",4,4,0,8,4,2,5.312229219,2.26763e-06
"ZNF221",43,55,34,61,47,72,30.57648542,4.08541e-09
"ZNF227",254,325,280,460,299,555,2.907682599,1.62016e-10
"ZNF285",34,42,26,40,50,42,3.231247295,3.91932e-10
"PVR",3688,5264,3422,5808,4954,6274,1.655691731,0.000577752
"CEACAM16",7,3,3,0,1,4,6.420999316,4.04722e-05
"BCAM",1080,1847,1548,1948,1212,2614,7.480600261,7.67958e-05
"NECTIN2",2686,3667,3588,4831,3371,6098,2.736635077,1.1217e-06
"TOMM40",2182,2772,2368,3797,2731,4161,16.45080606,0.000142819
"PPP1R37",384,584,332,591,488,686,2.969943807,0.001888542
"FKRP",673,983,743,1175,857,1370,7.868123338,0.001187534
"C5AR2",4,4,2,3,6,0,4.129964633,2.4886e-07
"MEIS3",5,4,2,0,8,8,4.055262591,7.32561e-08
"PRRG2",4,13,10,18,3,12,1.575613925,4.23122e-08
"IRF3",924,1083,1045,1505,1072,1678,3.929941968,5.42519e-29
"MED25",298,365,360,489,400,567,2.352597163,0.000202378
"NUP62",1550,2146,1786,2657,1884,2909,3.115732925,3.81899e-05
"ZSCAN5A",174,241,190,305,203,426,1.88133561,4.7413e-05
"TRAPPC2B",57,76,68,78,78,89,1.950699637,2.02041e-43
"AC003002.3",49,57,42,69,69,72,1.556659424,1.27769e-09
"ZNF772",87,153,124,162,135,196,3.078552091,1.12694e-05
"ZNF324",102,147,134,138,119,175,1.772702955,1.14811e-10
"UBE2M",1574,2184,1873,2770,2033,2914,1.837904709,0.000404628
"SNTG2",0,6,0,2,0,2,4.960838684,2.2599e-14
"WDCP",314,472,382,574,436,670,2.162054288,2.04463e-06
"CENPO",936,1123,1120,1637,1118,1840,1.605371545,2.10786e-05
"ADCY3",138,211,169,304,182,241,4.71835036,3.27663e-10
"DNMT3A",2841,4083,3462,4580,3579,5802,1.587795508,0.00069414
"ASXL2",3446,4583,3531,5091,4017,5731,11.16311345,0.007880255
"ATRAID",1002,1431,1226,1644,1162,2119,8.176818873,6.49031e-36
"SNX17",1321,1728,1325,1985,1569,2341,1.579933072,2.08196e-11
"PPM1G",36375,47338,40378,61020,44179,66567,1.56136119,0.003110603
"PRKD3",1340,1700,1495,2204,1560,2382,1.556853902,2.24107e-05
"SOS1",1716,2499,1869,2952,2245,3000,3.974434807,0.000150641
"MAP4K3",2157,2573,1870,2955,2360,3051,6.681327696,6.31736e-12
"COX7A2L",1283,1708,1417,2004,1643,2363,5.903311798,1.15254e-16
"ZFP36L2",699,1102,716,1190,876,1426,13.70692838,4.53154e-07
"EPCAM",9784,13483,10904,16029,11814,17785,3.342900546,7.74932e-10
"ACYP2",315,549,441,647,471,747,2.833096093,2.58387e-07
"CLHC1",121,202,132,185,146,230,2.722900001,2.53424e-05
"MDH1",1194,1646,1416,1940,1591,2255,2.947102902,0.000426762
"SPRED2",1103,1677,1184,1787,1335,1804,1.523552533,4.28693e-17
"ANXA4",2872,4859,3261,4800,3458,5242,7.868123338,0.001187534
"VAX2",12,50,27,40,48,59,3.527445179,4.66057e-07
"AC007040.2",260,232,227,306,251,350,48.50226382,5.67818e-40
"DGUOK",507,632,548,710,576,923,7.154848619,3.51097e-15
"PCGF1",218,343,228,362,314,440,2.253137522,7.81532e-07
"TLX2",29,33,28,47,30,48,1.543016238,1.08255e-06
"SEMA4F",138,140,117,132,136,186,1.509844111,7.31866e-05
"GCFC2",1473,2030,1651,2526,2052,2736,2.330329987,0.000674911
"RETSAT",930,1463,1153,1693,1234,2036,1.950686396,6.04986e-28
"TMEM150A",100,142,143,190,138,246,6.545638058,0.00572059
"TRIM43B",0,0,0,0,0,2,4.720028566,0.000488104
"INPP4A",503,640,474,700,576,779,3.187254559,1.03465e-05
"LIPT1",65,92,60,80,42,88,1.949243591,1.29544e-07
"AC092587.1",1091,1497,1209,1890,1421,2157,1.955633726,0.000101808
