"Geneid","GroupA_1","GroupA_2","GroupA_3","GroupB_1","GroupB_2","GroupB_3","foldchange","pvalue"
"LRRC28",34,48,39,66,44,99,3.852963118,6.32571e-12
"NPIPA1",2353,3989,3087,4389,2895,4968,13.8410132,5.18276e-12
"NTAN1",766,877,763,1180,933,1172,3.745453962,0.006629955
"BMERB1",537,707,341,777,621,669,3.151237149,5.08875e-08
"ABCC11",124,140,126,174,131,177,5.179053846,0.000128569
"SLC12A3",6,0,2,4,0,4,5.209675246,1.32702e-22
"ATMIN",1595,2342,1637,2533,1985,2666,11.22790277,1.63533e-31
"GLTPD2",137,180,183,184,145,274,3.207001459,1.35249e-13
"SPAG7",4137,5632,5514,6602,4834,8732,5.459983636,0.000421961
"KRT34",2,6,0,0,2,2,7.743027914,3.96543e-11
"KAT2A",549,686,594,894,589,1171,3.759832016,6.92016e-14
"AC099811.2",5549,7543,6310,9128,7624,11318,22.69149571,3.0617e-132
"STAT3",3529,4560,3844,5634,3964,6784,4.080075502,9.82733e-05
"BRCA1",944,1404,1181,1594,1203,2015,3.759214653,0.000352577
"UNK",507,675,606,895,609,1056,3.509951598,1.54072e-05
"C1QTNF1",34,50,42,52,45,73,8.295946128,0.000700954
"NDUFS7",238,276,232,325,282,512,4.44170374,1.81193e-08
"ZNF554",45,92,51,90,72,113,3.775393158,2.42701e-24
"XAB2",542,796,556,966,753,1039,10.73885024,2.95077e-05
"CCDC151",278,409,315,507,328,576,4.643619868,0.002682185
"NACC1",1952,2461,2037,3105,2474,3646,8.669073704,1.01667e-10
"MAU2",221,315,283,345,282,434,3.620375586,3.99868e-11
"ZNF91",361,458,365,570,435,612,3.027693833,9.68321e-13
"LGI4",6,16,4,6,4,6,4.922019234,3.90657e-11
"AD000671.1",219,299,196,329,229,375,7.161109554,2.87136e-13
"ZNF540",2,4,2,4,6,18,6.545638058,0.00572059
"SHKBP1",232,335,258,365,275,434,4.925371665,7.13718e-17
"COQ8B",196,213,153,240,175,325,5.19478415,4.99125e-32
"CYP2A6",3,2,0,2,1,2,4.476224564,8.2223e-05
"ZNF574",316,382,352,480,382,476,3.234276898,3.8522e-07
"PSG11",4,4,0,8,4,2,5.312229219,2.26763e-06
"ZNF221",43,55,34,61,47,72,30.57648542,4.08541e-09
"ZNF285",34,42,26,40,50,42,3.231247295,3.91932e-10
"CEACAM16",7,3,3,0,1,4,6.420999316,4.04722e-05
"BCAM",1080,1847,1548,1948,1212,2614,7.480600261,7.67958e-05
"TOMM40",2182,2772,2368,3797,2731,4161,16.45080606,0.000142819
"FKRP",673,983,743,1175,857,1370,7.868123338,0.001187534
"C5AR2",4,4,2,3,6,0,4.129964633,2.4886e-07
"MEIS3",5,4,2,0,8,8,4.055262591,7.32561e-08
"IRF3",924,1083,1045,1505,1072,1678,3.929941968,5.42519e-29
"NUP62",1550,2146,1786,2657,1884,2909,3.115732925,3.81899e-05
"ZNF772",87,153,124,162,135,196,3.078552091,1.12694e-05
"SNTG2",0,6,0,2,0,2,4.960838684,2.2599e-14
"ADCY3",138,211,169,304,182,241,4.71835036,3.27663e-10
"ASXL2",3446,4583,3531,5091,4017,5731,11.16311345,0.007880255
"ATRAID",1002,1431,1226,1644,1162,2119,8.176818873,6.49031e-36
"SOS1",1716,2499,1869,2952,2245,3000,3.974434807,0.000150641
"MAP4K3",2157,2573,1870,2955,2360,3051,6.681327696,6.31736e-12
"COX7A2L",1283,1708,1417,2004,1643,2363,5.903311798,1.15254e-16
"ZFP36L2",699,1102,716,1190,876,1426,13.70692838,4.53154e-07
"EPCAM",9784,13483,10904,16029,11814,17785,3.342900546,7.74932e-10
"ANXA4",2872,4859,3261,4800,3458,5242,7.868123338,0.001187534
"VAX2",12,50,27,40,48,59,3.527445179,4.66057e-07
"AC007040.2",260,232,227,306,251,350,48.50226382,5.67818e-40
"DGUOK",507,632,548,710,576,923,7.154848619,3.51097e-15
"TMEM150A",100,142,143,190,138,246,6.545638058,0.00572059
"TRIM43B",0,0,0,0,0,2,4.720028566,0.000488104
"INPP4A",503,640,474,700,576,779,3.187254559,1.03465e-05
