"SYMBOL","ENTREZID"
"Icam2","15896"
"Id1","15901"
"Igfbp4","16010"
"Cd74","16149"
"Il10","16153"
"Il1r2","16178"
"Itga5","16402"
"Kcna2","16490"
"Khk","16548"
"Kif5a","16572"
"Kif9","16578"
"Klf12","16597"
"Klf2","16598"
"Klf3","16599"
"Klf9","16601"
"Hivep3","16656"
"Ky","16716"
"Aff3","16764"
"Lamc2","16782"
"Gzmm","16904"
"Sh2b3","16923"
"Lrp5","16973"
"Lrrc23","16977"
"Lrrn2","16980"
"Lrrn3","16981"
"Lxn","17035"
"Epcam","17075"
"Mxd3","17121"
"Maff","17133"
"Mbd4","17193"
"Marcksl1","17357"
"Mmp14","17387"
"Mmp15","17388"
"Cd200","17470"
"Mt2","17750"
"Map1a","17754"
"Map1b","17755"
"Map6","17760"
"Myb","17863"
"Myl4","17896"
"Mylpf","17907"
"Myo10","17909"
"Neb","17996"
"Nek2","18005"
"Nfe2","18022"
"Nefl","18039"
"Uhrf1","18140"
"Npdc1","18146"
"Ntrk3","18213"
"Sigmar1","18391"
"Orc1","18392"
"Pbx3","18516"
"Pcsk4","18551"
"Pcx","18563"
"Penk","18619"
"Phex","18675"
"Plau","18792"
"Plk1","18817"
"Pole","18973"
"Pole2","18974"
"Pou6f1","19009"
"Pparg","19016"
"Psmc3ip","19183"
"Ptger1","19216"
"Ptger2","19217"
"Ptpn5","19259"
"Ptprk","19272"
"Pxmp2","19301"
"Rab4a","19341"
"Kif20a","19348"
"Rad51","19361"
"Rad51ap1","19362"
"Rad51b","19363"
"Rad54l","19366"
"Rapsn","19400"
"Rbm4","19653"
"Rdh5","19682"
"Ret","19713"
"Rgs9","19739"
"Rpl30-ps3","19949"
"Rps6ka2","20112"
"Rrm2","20135"
"Ccl3","20302"
"Sell","20343"
"Sema4c","20353"
"Sema7a","20361"
"Foxp3","20371"
"Sftpb","20388"
"Sorbs3","20410"
"Shcbp1","20419"
"St3gal2","20444"
"St6galnac2","20446"
"St3gal5","20454"
"Slc34a2","20531"
"Slfn4","20558"
"Snai1","20613"
"Spint1","20732"
"Spr","20751"
"Tmie","20776"
"Aurkb","20877"
"Stx3","20908"
"Stxbp1","20910"
"Suclg2","20917"
"Syp","20977"
"Tagln","21345"
"Tcea2","21400"
"Trav5-4","21507"
"Tert","21752"
"Tsc22d1","21807"
"Tg","21819"
"Ift88","21821"
"Thbd","21824"
"Timeless","21853"
"Tnfrsf9","21942"
"Cd40lg","21947"
"Cd70","21948"
"Tnnt1","21955"
"Tnnt3","21957"
"Tnp2","21959"
"Tns1","21961"
"Tpst1","22021"
"Tsix","22097"
"Ttk","22137"
"Ttn","22138"
"Tubb2a","22151"
"Tubb3","22152"
"Unc13b","22249"
"Ush2a","22283"
"Utf1","22286"
"Vegfa","22339"
"Vill","22351"
"Vipr2","22355"
"Ccn4","22402"
"Wnt10b","22410"
"Xk","22439"
"Slc23a3","22626"
"Zfa-ps","22639"
"Zfp185","22673"
"Zfp239","22685"
"Zik1","22775"
"Cdc6","23834"
"Dlg2","23859"
"Dand5","23863"
"Lynx1","23936"
"Nek3","23954"
"Ptpn21","24000"
"Tiam2","24001"
"Angptl2","26360"
"Nbea","26422"
"Creb3l1","26427"
"Rbbp9","26450"
"Exo1","26909"
"Spag1","26942"
"Islr","26968"
"Sh3d19","27059"
"Tnfrsf12a","27279"
"Skp2","27401"
"Vkorc1","27973"
"Igfbp7","29817"
"Sult4a1","29859"
"Scmh1","29871"
"Hdgfl3","29877"
"Timm9","30056"
"Timm10","30059"
"Slamf6","30925"
"Icosl","50723"
"Klrg1","50928"
"Pbk","52033"
"Rab11fip5","52055"
"Snhg14","52480"
"Nudcd2","52653"
"Echdc1","52665"
"E2f7","52679"
"Map3k6","53608"
"Vamp5","53620"
"Insm1","53626"
"Pkd2l2","53871"
"Naip3-ps1","53898"
"Zfp316","54201"
"Arhgef5","54324"
"Ctnnal1","54366"
"Ncapg","54392"
"Nap1l3","54561"
"Calcrl","54598"
"Pde3a","54611"
"Fmo2","55990"
"Stard10","56018"
"Cited4","56222"
"Stk3","56274"
"Arl6","56297"
"B4galt4","56375"
"Trim17","56631"
"Plag1","56711"
"Psrc1","56742"
"Necab3","56846"
"Slc37a2","56857"
"Gtf2ird1","57080"
"Jph1","57339"
"Slc15a2","57738"
"Zfp112","57745"
"Pdcd1lg2","58205"
"Zbtb32","58206"
"Slc43a3","58207"
"Pard6b","58220"
"Rnf8","58230"
"Zfp862-ps","58894"
"Ghrl","58991"
"Sv2a","64051"
"Oxct2a","64059"
"Osbpl1a","64291"
"Tspan4","64540"
"Suv39h2","64707"
"Izumo1r","64931"
"Cldn12","64945"
"Bean1","65115"
"Asb2","65256"
"Dnajc30","66114"
"Acer3","66190"
"Acyp1","66204"
"Mrps28","66230"
"1500011B03Rik","66236"
"Ccdc28b","66264"
"Lyrm9","66274"
"Aqp11","66333"
"Cenpp","66336"
"Eid3","66341"
"Tmem177","66343"
"Pla2g12a","66350"
"Cox20","66359"
"Sac3d1","66406"
"Pyurf","66459"
"Ska1","66468"
"Cul7","66515"
"Cenpm","66570"
"Tmigd1","66601"
"Ribc1","66611"
"Adat2","66757"
"Pacrgl","66768"
"Plin3","66905"
"Dsn1","66934"
"Sh3d21","66938"
"Khdc3","66991"
"Rpp14","67053"
"Slc25a53","67062"
"Mmachc","67096"
"Mastl","67121"
"Fbxo5","67141"
"Sft2d3","67158"
"Spats2l","67198"
"Med18","67219"
"Zc2hc1a","67306"
"C1qtnf12","67389"
"Armcx2","67416"
"4921536K21Rik","67430"
"Retsat","67442"
"Eepd1","67484"
"Nudt7","67528"
"4930429B21Rik","67576"
"Spc24","67629"
"Dnaaf4","67685"
"Itgb3bp","67733"
"4930577N17Rik","67746"
"Nmral1","67824"
"Cdca5","67849"
"Asprv1","67855"
"Mtln","67885"
"Coa6","67892"
"Zcchc3","67917"
"Tubb6","67951"
"Nacc2","67991"
"Mrps11","67994"
"Cfap298","68001"
"Sdhaf4","68002"
"Bambi","68010"
"Zwilch","68014"
"Mrm2","68017"
"Bphl","68021"
"Snhg17","68108"
"Fam120aos","68128"
"Gcsh","68133"
"Otub2","68149"
"Dubr","68190"
"Efcab2","68226"
"Mturn","68235"
"Fam114a1","68303"
"Apoo","68316"
"Aph1c","68318"
"Zfyve21","68520"
"Fbxw9","68628"
"Abhd14a","68644"
"1110038B12Rik","68763"
"Rgmb","68799"
"6330418K02Rik","69004"
"Prrt2","69017"
"Pex11g","69129"
"Comtd1","69156"
"Bola1","69168"
"Gins1","69270"
"Ctdspl","69274"
"Dnajb13","69387"
"Dennd6b","69440"
"1700030C10Rik","69513"
"1700030J22Rik","69528"
"2310009B15Rik","69549"
"Tmbim1","69660"
"Hddc2","69692"
"Tatdn1","69694"
"Lrr1","69706"
"Iqcg","69707"
"Krtcap3","69815"
"Polr3gl","69870"
"Nup43","69912"
"Rsc1a1","69994"
"Mcm10","70024"
"Dancr","70036"
"Nbdy","70123"
"Misp3","70134"
"Kif18b","70218"
"Pigw","70325"
"2810408A11Rik","70419"
"Dhrs13","70451"
"Ckap2l","70466"
"Lrrc56","70552"
"Filip1","70598"
"Dusp16","70686"
"Rasl12","70784"
"P2ry12","70839"
"Nsun7","70918"
"Wdr20rt","70948"
"4931440P22Rik","71004"
"Hexim2","71059"
"Adam30","71078"
"4933412E12Rik","71086"
"Tssk4","71099"
"Cabyr","71132"
"Cage1","71213"
"Gpr15","71223"
"Spata24","71242"
"Aifm2","71361"
"Pdss2","71365"
"Rgs12","71729"
"Syce2","71846"
"Btbd35f1","71847"
"Dus4l","71916"
"Gpc2","71951"
"Fndc3b","72007"
"Igsf5","72058"
"Snhg7","72091"
"Gm9726","72159"
"Thumpd2","72167"
"Zfp661","72180"
"2510009E07Rik","72190"
"B3gnt3","72297"
"Palld","72333"
"Amer1","72345"
"2210016L21Rik","72357"
"2210408I21Rik","72371"
"Cdkn3","72391"
"Sgo1","72415"
"Dnajc25","72429"
"Prr5l","72446"
"2810047C21Rik1","105242405"
"Zfp248","72720"
"Hdhd3","72748"
"Bbof1","72873"
"Zfp493","72958"
"Top1mt","72960"
"Tymp","72962"
"3110009E18Rik","73103"
"Tm7sf2","73166"
"3110083C13Rik","73208"
"Ccdc18","73254"
"1700037C18Rik","73261"
"Lrrc69","73314"
"Nptxr","73340"
"Msl3l2","73390"
"Prox2","73422"
"Tubb2b","73710"
"Mcee","73724"
"Kif2c","73804"
"Speer8-ps1","74062"
"Nmnat3","74080"
"Pop7","74097"
"Acoxl","74121"
"Cyp2s1","74134"
"Zfp946","74149"
"Perm1","74183"
"Ctbs","74245"
"Xrcc3","74335"
"Lonrf3","74365"
"Map10","74393"
"Cfap53","74453"
"Lrrc71","74485"
"Gorasp1","74498"
"Pck2","74551"
"Elovl7","74559"
"Mss51","74843"
"Spaca6","75202"
"Bcdin3d","75284"
"4930599N23Rik","75379"
"Phpt1","75454"
"Nat8f4","75541"
"Rsph9","75564"
"Acyp2","75572"
"Ndufaf2","75597"
"Rai14","75646"
"Anks6","75691"
"Tmem14a","75712"
"Zfp821","75871"
"Gm11346","76024"
"Ncapg2","76044"
"Snrnp35","76167"
"Agbl3","76223"
"Atp6v0e2","76252"
"Ttc8","76260"
"Tgds","76355"
"Car12","76459"
"Knl1","76464"
"Msrb2","76467"
"Cmya5","76469"
"Ly6k","76486"
"Paqr4","76498"
"Unc5cl","76589"
"Lrrc27","76612"
"Clip3","76686"
"Nubpl","76826"
"Ccdc116","76872"
"Snhg20","76972"
"Arxes2","76976"
"2700099C18Rik","77022"
"Kdm8","77035"
"Bcl7a","77045"
"Spns3","77577"
"Bcl9","77578"
"Trat1","77647"
"Mmab","77697"
"Polq","77782"
"Zfp712","78251"
"Icam4","78369"
"Sapcd1","78376"
"Ntf5","78405"
"Fam131a","78408"
"Htra3","78558"
"Bola3","78653"
"E130112N10Rik","78668"
"Efcab11","78767"
"Clip4","78785"
"Polr3h","78929"
"4930581F22Rik","78934"
"Rnf227","80515"
"Kank3","80880"
"Egfl8","81701"
"Ift122","81896"
"Glis2","83396"
"Nedd4l","83814"
"Ptov1","84113"
"Pcdhgb2","93700"
"Pcdhgb6","93703"
"Pcdhgb8","93705"
"Pcdhgc4","93707"
"Pcdhgc5","93708"
"Pcdhga8","93716"
"Mpv17l","93734"
"Dqx1","93838"
"Vangl2","93840"
"Uchl4","93841"
"B3galt5","93961"
"Tmem121b","94047"
"Trim6","94088"
"S1pr5","94226"
"D930048N14Rik","97775"
"H3c8","97908"
"AU015228","99169"
"Zfp518b","100515"
"Rita1","100764"
"Snx21","101113"
"Gadd45gip1","102060"
"Mtus1","102103"
"Cpne7","102278"
"Xylb","102448"
"Cenpi","102920"
"Rdh9","103142"
"Ttc41","103220"
"Zfr2","103406"
"AI450353","103729"
"Synpo","104027"
"Tex15","104271"
"Zfp119a","104349"
"Snora64","104366"
"Snora70","104368"
"Ppp1r3e","105651"
"Fam83h","105732"
"Sgsm3","105835"
"Tafa5","106014"
"Rfc4","106344"
"Rab31","106572"
"Vmac","106639"
"Ttbk1","106763"
"Arap3","106952"
"Gpr137","107173"
"Ffar4","107221"
"Il1rl2","107527"
"Tm6sf2","107770"
"Cenpf","108000"
"Slco4a1","108115"
"Ston2","108800"
"Rdh13","108841"
"Trmt10a","108943"
"E2f8","108961"
"Inka2","109050"
"Pimreg","109212"
"B230118I11Rik","109304"
"Dsp","109620"
"Ctrl","109660"
"Akr7a5","110198"
"Igkj2","110760"
"Hspa13","110920"
"Egln3","112407"
"Zfp607b","112415"
"Npnt","114249"
"Brdt","114642"
"Selenom","114679"
"Alpk3","116904"
"Ttyh2","117160"
"B3galt6","117592"
"Igf2bp3","140488"
"Emid1","140703"
"Stard6","170461"
"Rtkn2","170799"
"Fut10","171167"
"Asic3","171209"
"Acot2","171210"
"Havcr2","171285"
"Bspry","192120"
"Zfp286","192651"
"Lrrc75b","192734"
"Kcnh6","192775"
"Itgb4","192897"
"Gm4742","193533"
"Trav14n-2","193574"
"Mtmr11","194126"
"Trav4d-4","195296"
"Trav16","195297"
"Cetn4","207175"
"Ggt7","207182"
"Dtx4","207521"
"Ccdc40","207607"
"Rnf43","207742"
"Ubap1l","208080"
"Pif1","208084"
"Zfp976","208111"
"Dip2c","208440"
"Mterf1b","208595"
"Kntc1","208628"
"Creb3l2","208647"
"Cpeb3","208922"
"Tns2","209039"
"Gipc3","209047"
"Gen1","209334"
"Tyw3","209584"
"Ttc28","209683"
"Gm4767","210583"
"Tsga10","211484"
"Wwc1","211652"
"Zfp273","212569"
"Catsper2","212670"
"Kctd7","212919"
"Ankrd35","213121"
"Il20rb","213208"
"Nudt15","214254"
"Gm4787","214321"
"Mob3b","214944"
"Nav1","215690"
"Ybey","216119"
"Evi2b","216984"
"Stac2","217154"
"Fam171a2","217219"
"Dnajc27","217378"
"Gm527","217648"
"Marveld2","218518"
"Gm10044","218695"
"Dlgap5","218977"
"Ska3","219114"
"Nrbp2","223649"
"Muc20","224116"
"Rbm11","224344"
"Lrrc73","224813"
"AI661453","224833"
"Ankrd29","225187"
"Reep2","225362"
"Alpk2","225638"
"Trpm6","225997"
"Ubtd1","226122"
"Zranb3","226409"
"Dyrk3","226419"
"Tstd1","226654"
"Plcl1","227120"
"Gpr55","227326"
"B3gnt7","227327"
"Cdnf","227526"
"Coq4","227683"
"Mettl8","228019"
"Cerkl","228094"
"Smim26","228715"
"Fitm2","228859"
"Gatb","229487"
"Adamtsl4","229595"
"6330549D23Rik","229613"
"Cenpe","229841"
"Gm11839","230010"
"5730409E04Rik","230757"
"Phf13","230936"
"Samd11","231004"
"Tmem150a","232086"
"Txnrd3","232223"
"Hdac11","232232"
"Zfp637","232337"
"Klrb1f","232408"
"Zfp418","232854"
"Zscan18","232875"
"Zfp420","233058"
"Arhgap33","233071"
"Ctu1","233189"
"Mrgprb1","233231"
"Arhgef10","234094"
"Neil3","234258"
"Ankle1","234396"
"Slc36a4","234967"
"Tmem205","235043"
"Lingo1","235402"
"6430571L13Rik","235599"
"Lancl3","236285"
"Gm4900","236294"
"Slc9a7","236727"
"Fancb","237211"
"Adamts14","237360"
"Gm4925","237433"
"Tmtc3","237500"
"Eml6","237711"
"Col23a1","237759"
"Rtn4rl1","237847"
"Brip1","237911"
"Fn3krp","238024"
"Gm4929","238091"
"Akap5","238276"
"Ccnb1ip1","239083"
"Gm4942","239502"
"Rimbp3","239731"
"Lamp3","239739"
"Zfp994","240038"
"Zfp870","240066"
"Zfp563","240068"
"H2-M5","240095"
"Zfp119b","240120"
"Setbp1","240427"
"Sec31b","240667"
"Rpl12-ps1","241053"
"Fam124b","241128"
"Galnt5","241391"
"Rasef","242505"
"Napepld","242864"
"Tshz3","243931"
"Cyp2r1","244209"
"Lonrf1","244421"
"Zc3h12c","244871"
"Zfp937","245174"
"AA414768","245350"
"Zfp300","245368"
"Gprasp2","245607"
"Rhbdl3","246104"
"Dnajc28","246738"
"Tspear","252974"
"Nphp4","260305"
"Pkn3","263803"
"Snord87","266793"
"Ankrd13b","268445"
"D430019H16Rik","268595"
"Ccnb1","268697"
"Rbfox1","268859"
"Ctif","269037"
"Gm5048","269105"
"Rps19-ps7","269365"
"Tox2","269389"
"Fbxo10","269529"
"Gm5054","270015"
"Map3k15","270672"
"Tmem132e","270893"
"Rubcnl","271221"
"Rpusd2","271842"
"Gins2","272551"
"Taar7e","276742"
"Gm12129","276941"
"Trav6d-4","277146"
"Rps19-ps3","277692"
"Ccdc50-ps","277707"
"Exoc3l","277978"
"Rhbdd3","279766"
"Trav9n-4","279882"
"Lix1l","280411"
"H2bc14","319186"
"H2bc21","319190"
"4930513N10Rik","319960"
"Fndc9","320116"
"BC049715","320135"
"Klri2","320407"
"A630089N07Rik","320586"
"9430037G07Rik","320692"
"Bend6","320705"
"B230217O12Rik","320879"
"Trav3-3","320898"
"Itgb8","320910"
"Map7d3","320923"
"Lrrn4","320974"
"Usp44","327799"
"Gm10336","328186"
"D130037M23Rik","328330"
"Npm2","328440"
"Trav9d-2","328482"
"Trav6-3","328483"
"Apol10b","328561"
"Gm5093","328825"
"Treml2","328833"
"Scd4","329065"
"Rbm44","329207"
"A530013C23Rik","329562"
"Fat4","329628"
"A630034I12Rik","329790"
"Slc5a6","330064"
"Ccdc63","330188"
"Ceacam16","330483"
"Gm5113","330503"
"Gm5129","332993"
"Proser3","333193"
"Ttc16","338348"
"Acad12","338350"
"Endov","338371"
"Map3k9","338372"
"Agap1","347722"
"D830050J10Rik","352968"
"Sfmbt2","353282"
"Txlnb","378431"
"3000002C10Rik","378954"
"Nefh","380684"
"Rap1gap2","380711"
"Tlcd2","380712"
"Zfp948","381066"
"Prob1","381148"
"Lipo3","381236"
"Kif14","381293"
"Mamdc4","381352"
"Ajm1","381353"
"Pabpc1l","381404"
"Xkr8","381560"
"Gm9758","381714"
"4930590J08Rik","381798"
"Apold1","381823"
"Trav7d-4","382180"
"Gm5176","382421"
"Gm5207","382931"
"Enthd1","383075"
"Gm5259","383542"
"Gpr25","383563"
"Gm5263","383571"
"Ephx4","384214"
"Gm5356","384862"
"Gm1943","384864"
"Trav6d-7","385047"
"Gm5388","385356"
"Trav7-4","386450"
"Mir20a","387139"
"Mirlet7g","387249"
"Tas2r135","387512"
"Snhg3","399101"
"Plcxd1","403178"
"Zfp873","408062"
"Zfp456","408065"
"Tnip3","414084"
"Zmiz1os1","414118"
"Gm5421","432438"
"Akap7","432442"
"Mfsd2b","432628"
"Rpl21-ps3","432665"
"Gm5436","432676"
"Zfp708","432769"
"Gm5455","432803"
"Rps12-ps2","432865"
"Gm5466","432881"
"Gm5473","432959"
"Vmn2r96","433070"
"Gm5510","433216"
"Gm15428","433368"
"Gm14231","433546"
"Rpsa-ps11","433712"
"Gm13241","433790"
"Ociad2","433904"
"Ccnb1-ps","434175"
"Gm5596","434189"
"Ap3s1-ps2","434339"
"Gm5628","434585"
"Gm14367","434724"
"Gm5644","434860"
"Gm11427","435271"
"Vmn1r122","435951"
"Trav14-1","436467"
"Trav9-2","436479"
"Trav15-2-dv6-2","436545"
"Snora74a","436583"
"A830005F24Rik","442803"
"Ccin","442829"
"Snord15b","449631"
"Tbc1d32","544696"
"Gm5784","544848"
"Cyp2c67","545288"
"Gm9826","545302"
"Rbm8a2","545388"
"Zfp973","545490"
"Gm5850","545543"
"Gm5851","545545"
"Gm5863","545741"
"Gm5880","545866"
"Gm5883","545873"
"AA386476","546058"
"Prrg1","546336"
"Gm5944","546363"
"Ly6a2","546643"
"Gm5970","546714"
"Cyp26c1","546726"
"Gm5977","546752"
"Trav16d-dv11","547329"
"Trav14-3","547330"
"Gm14634","552913"
"E030024N20Rik","595139"
"Stxbp3-ps","619371"
"6430590A07Rik","619719"
"Gm13666","620110"
"Trav6n-6","620297"
"Gm6153","620454"
"AI429214","621080"
"Gm13803","621146"
"Gm6206","621205"
"Gm6266","621842"
"Trbv1","621968"
"Gm15784","622481"
"Gm6336","622589"
"Ccdc17","622665"
"Gm12418","622811"
"Gm11189","623205"
"Tmem200b","623230"
"Gm13961","623301"
"Rad54b","623474"
"Gm11841","623671"
"Gm6444","623672"
"Gm13651","623706"
"Gm6467","624037"
"Gm6517","624662"
"C4a","625018"
"Gm6568","625253"
"Gm6637","625931"
"Zfp951","626391"
"Gm6681","626503"
"Gm14052","626513"
"Cd63-ps","626721"
"Gm14322","626802"
"Trav6d-3","627394"
"Gm6776","627624"
"Trdv1","627813"
"Gm2004","628147"
"Zfp970","628308"
"Gm6900","628596"
"Gm14253","628707"
"6030426L16Rik","628850"
"1700008J07Rik","629159"
"Gm16372","629364"
"Trav14d-1","630415"
"Trav9-4","630461"
"Gm7059","631266"
"Gm7072","631624"
"Gm10548","633395"
"Tmem267","633640"
"Trav5-1","633740"
"Gm7125","633752"
"Trav7-2","634132"
"Trav14d-3-dv8","634322"
"Trav7n-4","636127"
"Nlrp1b","637515"
"Gm7240","638502"
"Gm7278","639787"
"Trav11d","640196"
"Gm7293","640374"
"Sptbn5","640524"
"Gm7308","640703"
"Gm7327","654353"
"Gm7332","654361"
"D330041H03Rik","654822"
"Gm7380","664869"
"Gm7384","664875"
"Gm7413","664936"
"Isoc2a","664994"
"Gm7450","665017"
"Gm7452","665024"
"Ap3s1-ps1","665369"
"Mthfd2l","665563"
"Gm11284","665703"
"Gm11295","665726"
"Eif5al3-ps","665733"
"Gm7783","665779"
"Tubb4b-ps2","665829"
"Gm7832","665864"
"Gm11598","666128"
"Tmsb15b1","666244"
"Gm8034","666300"
"Gm3317","666329"
"Gm12447","666389"
"Gm8121","666465"
"Gm15294","666488"
"Gm8137","666501"
"Gm11787","666513"
"Gm8153","666537"
"Gm15616","666545"
"Gm8158","666548"
"Gm8203","666634"
"Gm12115","666646"
"Gm8228","666672"
"Gm8264","666738"
"Gm8290","666790"
"Gm8318","666835"
"Gm8341","666875"
"Gm13294","667192"
"Gm8532","667238"
"Gm8556","667284"
"Gm8590","667353"
"Gm8615","667410"
"Gm8662","667487"
"Trav13d-2","667547"
"Gm8697","667549"
"Trav14-2","667567"
"Trav9d-4","667574"
"Trav5d-4","667583"
"Gm8719","667598"
"Trav10n","667626"
"Gm8776","667711"
"Trav10","667765"
"Gm8813","667788"
"Gm8814","667791"
"Gm8840","667842"
"Gm8864","667891"
"Gm8899","667964"
"Gm8927","668018"
"Ccdc85c","668158"
"Gm9034","668192"
"Gm9061","668242"
"Gm9079","668272"
"Gm9115","668343"
"Gm9118","668347"
"Gm9157","668412"
"Gm9164","668426"
"4930544D05Rik","668433"
"Gm9174","668450"
"Rpl23a-ps2","668461"
"Gm12312","668466"
"Gm9269","668614"
"Gm9294","668668"
"Gm9320","668724"
"Gm9387","668831"
"Gm14017","668887"
"Zfp442","668923"
"Btbd35f10","668960"
"Btbd35f17","668964"
"Gm13359","669582"
"Vmn1r159","670857"
"Gm9523","671222"
"Trav7-1","671652"
"Mir103-2","723825"
"Mir19a","723891"
"Mir342","723909"
"Mir98","723947"
"Mir24-2","723960"
"Mir148b","724064"
"Mir704","735289"
"Mir677","751518"
"Gm14018","100008564"
"Fam174b","100038347"
"Gm15441","100038464"
"Gm10369","100038504"
"Gm10406","100038847"
"Trav9d-3","100038850"
"Gm2237","100039441"
"Gm2383","100039709"
"Gm2395","100039735"
"Gm2467","100039870"
"Gm2539","100039992"
"Rpl30-ps7","100040182"
"Gm9791","100040232"
"Gm15267","100040394"
"Gm2774","100040443"
"Btbd35f26","100040458"
"Btbd35f2","100040482"
"Gm15309","100040678"
"Gm11914","100040691"
"Gm2996","100040840"
"Gm3002","100040852"
"Gm3076","100040980"
"Gm3636","100041151"
"Ahnak2","100041194"
"Gm3219","100041231"
"Gm3365","100041482"
"Gm3386","100041521"
"Gm10863","100041655"
"Gm3604","100041979"
"Gm15432","100042071"
"Btbd35f16","100042159"
"Btbd35f4","100042254"
"Trav2","100042372"
"Trav7d-2","100042410"
"Trav7d-3","100042419"
"Nhsl2","100042480"
"Gm3883","100042519"
"Gm3893","100042539"
"Gm16439","100042570"
"Trav13n-2","100042593"
"Trav4n-4","100042607"
"Trav5n-4","100042614"
"Vmn2r34","100042636"
"Gm4045","100042816"
"1110002L01Rik","100043040"
"Gm10179","100043075"
"Gm4258","100043143"
"Trav12d-1","100043177"
"Trav3d-3","100043202"
"Trav14n-1","100043204"
"Trav12n-1","100043218"
"Inafm2","100043272"
"Trav3n-3","100043282"
"Trav14n-3","100043308"
"Gm14305","100043387"
"Morrbid","100043424"
"Gm12571","100043525"
"Gm10120","100043618"
"Rpl36-ps12","100043718"
"Gm14335","100043759"
"Gm4708","100043883"
"Gm15725","100047966"
"Cfap43","100048534"
"9330020H09Rik","100048895"
"Gm45914","100049077"
"Trav10d","100101486"
"Snora15","100113364"
"Trav6-7-dv9","100113413"
"Trav4-4-dv10","100113414"
"Traj51","100124337"
"Traj50","100124338"
"Traj42","100124346"
"Traj41","100124347"
"Traj40","100124348"
"Traj39","100124349"
"Traj38","100124351"
"Traj37","100124352"
"Traj34","100124355"
"Traj33","100124356"
"Traj32","100124357"
"Traj31","100124358"
"Traj30","100124359"
"Traj29","100124360"
"Traj28","100124361"
"Traj27","100124362"
"Traj26","100124363"
"Traj24","100124365"
"Traj23","100124366"
"Traj22","100124367"
"Traj21","100124368"
"Traj13","100124390"
"Traj4","100124398"
"Mir343","100124438"
"Trbv2","100124659"
"Trbv4","100124660"
"Trbv13-1","100124673"
"Trbv13-3","100124677"
"Trbv17","100124681"
"Trbv19","100124684"
"Trbv29","100124698"
"Trbd2","100125247"
"Trbj1-3","100125250"
"Trbj2-1","100125255"
"Krt83","100126226"
"Trgj1","100126431"
"Trav6n-5","100126451"
"Trav6n-7","100126456"
"Trav16n","100126459"
"Trav6-6","100126465"
"Trav11","100126466"
"Trav13-1","100126469"
"Gm17794","100126821"
"Gm44502","100134861"
"Gm16238","100191076"
"Snord1b","100216531"
"Snord55","100216533"
"Snord1c","100216536"
"Scarna3a","100217414"
"Snora2b","100217416"
"Snord69","100217431"
"Snord65","100217444"
"Snord67","100217458"
"Snord85","100217460"
"Snora3","100302499"
"Snord14d","100302593"
"Gm12238","100303747"
"Snord17","100313519"
"Mir1b","100316783"
"Gm12856","100415963"
"Gm17879","100416030"
"Gm13689","100416042"
"Gm14441","100416283"
"Gm18144","100416523"
"Gm18284","100416827"
"Gm15186","100416958"
"Gm18588","100417394"
"Gm12345","100417426"
"Gm15773","100417598"
"Gm5605","100417643"
"Gm18913","100417946"
"Gm12989","100418217"
